"Razão para fechar","Total de contatos","Conversas","Hora de fechar / HT","Hora de fechar / Sem HT"
"Inativo","76","76","04d 15h","04d 15h"
"Atribuições","151","162","01m 23s","01m 22s"
"Encerramento do chamado (Quando sem resposta, propaganda de lojas e etc)","30","35","05m 09s","05m 09s"
"Integração - Erro carga de pedidos","3","3","20h 32m","20h 32m"
"Clientes do Lojista","2","2","02d 01h","02d 11h"
"Dúvidas do Sistema - Pedidos","7","7","01h 34m","01h 34m"
"Dúvidas do Sistema - Admin","27","30","01h 41m","01h 41m"
"Contato CS","3","3","29m 03s","29m 03s"
"Contato Proativo/Retorno de Solução","7","8","08h 41m","08h 41m"
"Solicitação de ajuda - admin","1","1","43m 20s","43m 19s"
"Dúvidas do Sistema - Pagamentos","10","10","03h 28m","03h 28m"
"Erros plataforma - Site","6","6","03h 44m","03h 44m"
"Solicitação de ajuda - Pagamentos","1","1","21h 18m","21h 18m"
"Dúvidas do Sistema - Relatórios","1","1","06h 17m","06h 17m"
"Feedbacks/Sugestões","1","1","05h 04m","05h 04m"
"Erro Pagamento - Crédito Online","1","1","02d 19h","02d 19h"
"Dúvidas do Sistema - Produtos","4","4","02d 09h","02d 09h"
"Erros plataforma - Admin","8","8","03h 01m","03h 01m"
"Solicitação de ajuda - Site","1","1","03d 02h","05d 04h"
"Contato Financeiro","1","1","02h 10m","02h 10m"
"Retorno de chamado do Lojista","7","7","21h 41m","21h 41m"
"Dúvidas do Sistema - Integrações","6","6","17h 35m","17h 35m"
"Erros plataforma - App separador","1","1","01h 49m","01h 49m"
