"Motivos de fechamento ao longo do tempo","04/05/2026","11/05/2026","18/05/2026"
"Inativo",13,42,0
"Dúvidas do Sistema - Pedidos",0,11,0
"Atribuições",0,131,0
"Encerramento do chamado (Quando sem resposta, propaganda de lojas e etc)",0,65,0
"Dúvidas do Sistema - Admin",0,47,0
"Retorno de chamado do Lojista",0,8,0
"Dúvidas do Sistema - Integrações",0,6,0
"Erros plataforma - Site",0,5,0
"Solicitação de ajuda - Integrações",0,2,0
"Contato Financeiro",0,6,0
"Erros plataforma - Admin",0,10,0
"Erros plataforma - App separador",0,16,0
"Integração - Erro carga de pedidos",0,3,0
"Dúvidas do Sistema - Pagamentos",0,6,0
"Solicitação de ajuda - Pedidos",0,2,0
"Clientes do Lojista",0,4,0
"Contato Proativo/Retorno de Solução",0,3,0
"Dúvidas do Sistema - Relatórios",0,1,0
"Dúvidas do Sistema - Site",0,1,0
"Contato CS",0,1,0
"Solicitação de ajuda - Site",0,1,0
"Dúvidas do Sistema - Produtos",0,3,0
"Solicitação de ajuda - admin",0,1,0
"Integração - Erro carga de produtos",0,2,0
"Dúvidas do Sistema - Marketing",0,1,0
